libelle_occup;Surface;Date-semis;Date-recolte-observee;Date-recolte-simulee;
BLE;5;2;23/10/2007;30/08/2008;312
BLE;3;8;23/10/2007;01/09/2008;314
BLE;25;3;25/10/2007;25/08/2008;305
BLE;25;0;25/10/2007;30/08/2008;310
BLE;10;0;27/10/2007;20/08/2008;298
BLE;3;8;27/10/2007;25/08/2008;303
BLE;10;1;27/10/2007;30/08/2008;308
BLE;10;1;27/10/2007;16/09/2008;325
BLE;11;0;30/10/2007;05/08/2008;280
BLE;6;2;05/11/2007;15/09/2008;315
BLE;14;8;07/11/2007;30/08/2008;297
BLE;3;4;08/11/2007;12/08/2008;278
BLE;3;1;08/11/2007;19/08/2008;285
BLE;4;1;10/11/2007;10/08/2008;274
BLE;0;8;13/11/2007;30/08/2008;291
BLE;2;0;15/11/2007;26/08/2008;285
BLE;1;0;30/11/2007;26/08/2008;270
BLE;2;8;01/12/2007;15/09/2008;289
BLE;7;5;01/09/2008;07/08/2009;340
BLE;23;4;15/09/2008;07/08/2009;326
BLE;8;4;26/09/2008;08/08/2009;316
BLE;9;8;26/09/2008;09/08/2009;317
BLE;9;3;03/10/2008;05/08/2009;306
BLE;3;1;08/10/2008;10/08/2009;306
BLE;13;8;10/10/2008;10/08/2009;304
BLE;7;2;14/10/2008;14/08/2009;304
BLE;1;6;14/10/2008;15/08/2009;305
BLE;7;3;15/10/2008;05/08/2009;294
BLE;12;2;15/10/2008;12/08/2009;301
BLE;1;9;15/10/2008;15/08/2009;304
BLE;14;0;16/10/2008;01/08/2009;289
BLE;10;5;17/10/2008;10/08/2009;297
BLE;4;9;17/10/2008;12/08/2009;299
BLE;33;1;19/10/2008;03/08/2009;288
BLE;12;5;20/10/2008;10/08/2009;294
BLE;5;1;23/10/2008;06/08/2009;287
BLE;22;2;24/10/2008;10/08/2009;290
BLE;5;8;28/10/2008;07/08/2009;283
BLE;7;0;29/10/2008;25/07/2009;269
BLE;4;5;30/10/2008;25/08/2009;299
BLE;3;4;01/11/2008;07/08/2009;279
BLE;3;4;04/11/2008;05/08/2009;274
BLE;14;8;05/11/2008;15/08/2009;283
BLE;22;9;06/11/2008;05/08/2009;272
BLE;7;8;07/11/2008;15/08/2009;281
BLE;4;0;08/11/2008;12/08/2009;277
BLE;5;2;15/11/2008;03/08/2009;261
BLE;7;5;15/11/2008;17/08/2009;275
BLE;2;8;04/01/2009;07/08/2009;215
BLE;6;7;30/01/2009;18/08/2009;200
BLE;10;4;31/01/2009;15/08/2009;196
BLE;6;6;15/02/2009;15/08/2009;181
BLE;4;8;10/09/2009;24/07/2010;317
BLE;10;3;28/09/2009;18/08/2010;324
BLE;7;0;29/09/2009;16/08/2010;321
BLE;2;8;29/09/2009;17/08/2010;322
BLE;7;4;01/10/2009;18/08/2010;321
BLE;23;9;01/10/2009;20/08/2010;323
BLE;5;5;07/10/2009;07/08/2010;304
BLE;9;0;09/10/2009;15/08/2010;310
BLE;2;3;09/10/2009;25/08/2010;320
BLE;19;7;10/10/2009;15/08/2010;309
BLE;8;4;10/10/2009;17/08/2010;311
BLE;8;8;11/10/2009;21/08/2010;314
BLE;25;4;12/10/2009;06/08/2010;298
BLE;33;0;12/10/2009;15/08/2010;307
BLE;5;2;13/10/2009;25/08/2010;316
BLE;9;0;14/10/2009;25/08/2010;315
BLE;14;5;15/10/2009;13/08/2010;302
BLE;6;2;19/10/2009;25/08/2010;310
BLE;2;5;19/10/2009;03/09/2010;319
BLE;2;1;20/10/2009;15/08/2010;299
BLE;38;7;20/10/2009;20/08/2010;304
BLE;1;0;20/10/2009;21/08/2010;305
BLE;17;2;20/10/2009;22/08/2010;306
BLE;3;1;20/10/2009;25/08/2010;309
BLE;4;2;25/10/2009;13/08/2010;292
BLE;1;6;25/10/2009;15/08/2010;294
BLE;17;2;25/10/2009;20/08/2010;299
BLE;18;8;28/10/2009;25/08/2010;301
BLE;8;6;02/11/2009;23/08/2010;294
BLE;7;7;14/11/2009;15/08/2010;274
BLE;5;3;21/11/2009;19/08/2010;271
BLE;1;6;15/09/2010;02/08/2011;321
BLE;4;9;26/09/2010;01/08/2011;309
BLE;5;8;29/09/2010;01/08/2011;306
BLE;10;2;03/10/2010;07/08/2011;308
BLE;18;1;03/10/2010;08/08/2011;309
BLE;5;3;08/10/2010;30/07/2011;295
BLE;8;6;08/10/2010;01/08/2011;297
BLE;11;8;10/10/2010;02/08/2011;296
BLE;10;5;10/10/2010;05/08/2011;299
BLE;25;8;10/10/2010;10/08/2011;304
BLE;0;5;10/10/2010;25/08/2011;319
BLE;11;0;12/10/2010;05/08/2011;297
BLE;14;7;13/10/2010;06/08/2011;297
BLE;7;1;14/10/2010;12/08/2011;302
BLE;9;8;15/10/2010;01/08/2011;290
BLE;3;6;15/10/2010;02/08/2011;291
BLE;3;8;17/10/2010;30/07/2011;286
BLE;8;9;17/10/2010;02/08/2011;289
BLE;8;3;18/10/2010;30/07/2011;285
BLE;16;0;20/10/2010;01/08/2011;285
BLE;5;5;20/10/2010;03/08/2011;287
BLE;3;1;20/10/2010;05/08/2011;289
BLE;8;3;20/10/2010;06/08/2011;290
BLE;4;5;21/10/2010;25/08/2011;308
BLE;5;1;22/10/2010;31/07/2011;282
BLE;7;4;23/10/2010;10/08/2011;291
BLE;3;2;30/10/2010;12/08/2011;286
BLE;5;5;01/11/2010;08/08/2011;280
BLE;6;7;05/11/2010;07/08/2011;275
BLE;1;2;15/11/2010;02/08/2011;260
BLE;4;5;22/11/2010;08/08/2011;259
BLE;3;6;23/11/2010;02/08/2011;252
BLE;3;9;10/03/2011;02/10/2011;206
BLE;4;0;26/09/2011;15/08/2012;324
BLE;11;2;27/09/2011;13/08/2012;321
BLE;65;3;27/09/2011;15/08/2012;323
BLE;17;4;28/09/2011;13/08/2012;320
BLE;12;6;28/09/2011;15/08/2012;322
BLE;56;2;28/09/2011;20/08/2012;327
BLE;10;0;29/09/2011;14/08/2012;320
BLE;10;1;30/09/2011;14/08/2012;319
BLE;10;3;03/10/2011;10/08/2012;312
BLE;24;9;03/10/2011;13/08/2012;315
BLE;0;8;06/10/2011;01/08/2012;300
BLE;3;6;06/10/2011;12/08/2012;311
BLE;10;2;07/10/2011;12/08/2012;310
BLE;25;9;08/10/2011;11/08/2012;308
